#  dt dtz fluor_diode izero_diode refl scanNr sry sty
1.000000014901161194e-01 5.602200031280517578e+00 1.153600000000000000e+05 6.811600000000000000e+04 8.033970000000000000e+05 4.860000000000000000e+02 2.274599969387054443e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.663799762725830078e+00 1.086700000000000000e+05 6.811300000000000000e+04 8.150130000000000000e+05 4.860000000000000000e+02 2.299599945545196533e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.725399971008300781e+00 1.153330000000000000e+05 6.810000000000000000e+04 8.162050000000000000e+05 4.860000000000000000e+02 2.324600070714950562e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.786799907684326172e+00 1.028480000000000000e+05 6.813100000000000000e+04 8.057700000000000000e+05 4.860000000000000000e+02 2.349600046873092651e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.848400115966796875e+00 1.129540000000000000e+05 6.808300000000000000e+04 8.026550000000000000e+05 4.860000000000000000e+02 2.374600023031234741e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.909999847412109375e+00 1.188510000000000000e+05 6.809400000000000000e+04 8.015660000000000000e+05 4.860000000000000000e+02 2.399599999189376831e-01 0.000000000000000000e+00
1.000000014901161194e-01 5.971600055694580078e+00 1.030520000000000000e+05 6.806000000000000000e+04 7.984280000000000000e+05 4.860000000000000000e+02 2.424599975347518921e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.033199787139892578e+00 1.243930000000000000e+05 6.809000000000000000e+04 8.125380000000000000e+05 4.860000000000000000e+02 2.449599951505661011e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.094600200653076172e+00 1.383580000000000000e+05 6.808700000000000000e+04 7.846130000000000000e+05 4.860000000000000000e+02 2.474599927663803101e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.156199932098388672e+00 1.533220000000000000e+05 6.806600000000000000e+04 7.651860000000000000e+05 4.860000000000000000e+02 2.499600052833557129e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.217800140380859375e+00 2.024120000000000000e+05 6.810700000000000000e+04 7.540170000000000000e+05 4.860000000000000000e+02 2.524600028991699219e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.279399871826171875e+00 1.954940000000000000e+05 6.812700000000000000e+04 7.716770000000000000e+05 4.860000000000000000e+02 2.549600005149841309e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.341000080108642578e+00 1.593950000000000000e+05 6.814900000000000000e+04 7.971440000000000000e+05 4.860000000000000000e+02 2.574599981307983398e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.402599811553955078e+00 1.355080000000000000e+05 6.806400000000000000e+04 8.250800000000000000e+05 4.860000000000000000e+02 2.599599957466125488e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.464000225067138672e+00 1.250190000000000000e+05 6.815400000000000000e+04 7.921480000000000000e+05 4.860000000000000000e+02 2.624599933624267578e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.525599956512451172e+00 1.119130000000000000e+05 6.808800000000000000e+04 8.045760000000000000e+05 4.860000000000000000e+02 2.649599909782409668e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.587200164794921875e+00 1.073970000000000000e+05 6.806100000000000000e+04 7.623930000000000000e+05 4.860000000000000000e+02 2.674599885940551758e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.648799896240234375e+00 1.177210000000000000e+05 6.813100000000000000e+04 7.091760000000000000e+05 4.860000000000000000e+02 2.699599862098693848e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.710400104522705078e+00 1.319690000000000000e+05 6.795100000000000000e+04 5.905520000000000000e+05 4.860000000000000000e+02 2.724600136280059814e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.771800041198730469e+00 1.329160000000000000e+05 6.805900000000000000e+04 6.476430000000000000e+05 4.860000000000000000e+02 2.749600112438201904e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.833399772644042969e+00 1.416950000000000000e+05 6.812500000000000000e+04 7.580920000000000000e+05 4.860000000000000000e+02 2.774600088596343994e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.894999980926513672e+00 1.238160000000000000e+05 6.812100000000000000e+04 7.988080000000000000e+05 4.860000000000000000e+02 2.799600064754486084e-01 0.000000000000000000e+00
1.000000014901161194e-01 6.956600189208984375e+00 1.260710000000000000e+05 6.808000000000000000e+04 8.145130000000000000e+05 4.860000000000000000e+02 2.824600040912628174e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.018199920654296875e+00 1.143670000000000000e+05 6.812100000000000000e+04 8.101980000000000000e+05 4.860000000000000000e+02 2.849600017070770264e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.079599857330322266e+00 1.186650000000000000e+05 6.816000000000000000e+04 8.103420000000000000e+05 4.860000000000000000e+02 2.874599993228912354e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.141200065612792969e+00 1.211290000000000000e+05 6.807700000000000000e+04 8.094450000000000000e+05 4.860000000000000000e+02 2.899599969387054443e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.202799797058105469e+00 1.251340000000000000e+05 6.809100000000000000e+04 8.020480000000000000e+05 4.860000000000000000e+02 2.924599945545196533e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.264400005340576172e+00 1.219580000000000000e+05 6.808000000000000000e+04 8.046570000000000000e+05 4.860000000000000000e+02 2.949599921703338623e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.326000213623046875e+00 1.268970000000000000e+05 6.808200000000000000e+04 7.991430000000000000e+05 4.860000000000000000e+02 2.974599897861480713e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.387400150299072266e+00 1.348590000000000000e+05 6.802900000000000000e+04 7.728970000000000000e+05 4.860000000000000000e+02 2.999599874019622803e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.448999881744384766e+00 1.423730000000000000e+05 6.807200000000000000e+04 7.672430000000000000e+05 4.860000000000000000e+02 3.024600148200988770e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.510600090026855469e+00 1.649030000000000000e+05 6.811300000000000000e+04 7.615470000000000000e+05 4.860000000000000000e+02 3.049600124359130859e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.572199821472167969e+00 1.817130000000000000e+05 6.811900000000000000e+04 7.411820000000000000e+05 4.860000000000000000e+02 3.074600100517272949e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.633800029754638672e+00 2.289640000000000000e+05 6.811700000000000000e+04 7.134270000000000000e+05 4.860000000000000000e+02 3.099600076675415039e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.695400238037109375e+00 3.110420000000000000e+05 6.800600000000000000e+04 6.658420000000000000e+05 4.860000000000000000e+02 3.124600052833557129e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.756800174713134766e+00 4.419180000000000000e+05 6.814900000000000000e+04 5.918050000000000000e+05 4.860000000000000000e+02 3.149600028991699219e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.818399906158447266e+00 5.915540000000000000e+05 6.811400000000000000e+04 5.098110000000000000e+05 4.860000000000000000e+02 3.174600005149841309e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.880000114440917969e+00 6.153810000000000000e+05 6.807300000000000000e+04 5.806590000000000000e+05 4.860000000000000000e+02 3.199599981307983398e-01 0.000000000000000000e+00
1.000000014901161194e-01 7.941599845886230469e+00 4.750020000000000000e+05 6.807100000000000000e+04 6.895590000000000000e+05 4.860000000000000000e+02 3.224599957466125488e-01 0.000000000000000000e+00
